Year,OSHPD ID,Facility Name,Type of Control,County Name,Principal Diagnosis Group,Count
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Infections,243
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Neoplasms,68
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Endocrine/Metabolism,99
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Blood/Blood-forming Organs,54
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Psychoses & Neurosis,33
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Nervous & Sensory Systems,45
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Circulatory,563
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Respiratory,408
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Digestive,548
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Genitourinary,168
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,All Pregnancies,12
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Skin Disorders,85
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Musculoskeletal,78
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Congenital Anomalies (Birth Defects),2
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Symptoms,181
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Injuries/Drugs/Complications,204
2009,010735,ALAMEDA HOSPITAL,District,ALAMEDA,Other Reasons for Health Services,51
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Infections,591
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Neoplasms,706
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Endocrine/Metabolism,342
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Blood/Blood-forming Organs,244
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Psychoses & Neurosis,113
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Nervous & Sensory Systems,283
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Circulatory,1570
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Respiratory,837
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Digestive,1168
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Genitourinary,622
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,All Pregnancies,8399
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Skin Disorders,275
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Musculoskeletal,783
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Congenital Anomalies (Birth Defects),5
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Perinatal Disorders,81
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Symptoms,529
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Injuries/Drugs/Complications,880
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Other Reasons for Health Services,104
2009,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,Non-Profit,ALAMEDA,Births,7658
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Infections,428
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Neoplasms,204
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Endocrine/Metabolism,440
2009,010987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Genitourinary,575
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Blood/Blood-forming Organs,501
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Psychoses & Neurosis,41
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Nervous & Sensory Systems,537
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Circulatory,160
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Respiratory,2732
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Digestive,1024
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Genitourinary,434
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Skin Disorders,418
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Musculoskeletal,359
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Congenital Anomalies (Birth Defects),679
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Perinatal Disorders,532
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Symptoms,549
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Injuries/Drugs/Complications,1333
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Non-Profit,ALAMEDA,Other Reasons for Health Services,539
2009,010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Non-Profit,ALAMEDA,Psychoses & Neurosis,136
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Infections,636
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Neoplasms,325
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Endocrine/Metabolism,237
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Blood/Blood-forming Organs,90
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Psychoses & Neurosis,505
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Nervous & Sensory Systems,188
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Circulatory,1003
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Respiratory,636
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Digestive,727
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Genitourinary,439
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,All Pregnancies,1299
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Skin Disorders,133
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Musculoskeletal,600
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Congenital Anomalies (Birth Defects),6
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Perinatal Disorders,29
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Symptoms,243
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Injuries/Drugs/Complications,1341
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Other Reasons for Health Services,505
2009,010805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Births,1156
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Neoplasms,1
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Endocrine/Metabolism,1
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Psychoses & Neurosis,2792
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Nervous & Sensory Systems,2
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Respiratory,10
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,All Pregnancies,32
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Symptoms,1
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Injuries/Drugs/Complications,4
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Other Reasons for Health Services,728
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Infections,325
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Neoplasms,518
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Endocrine/Metabolism,414
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Blood/Blood-forming Organs,96
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Psychoses & Neurosis,3452
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Nervous & Sensory Systems,215
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Circulatory,1116
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Respiratory,730
